TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  RWPE
USING POSITIONAL ENCODING:  RWPE
GNN(
  (layers): ModuleList(
    (0): GINConv(nn=Sequential(
      (0): Linear(in_features=6, out_features=64, bias=True)
      (1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Linear(in_features=64, out_features=64, bias=True)
    ))
    (1-3): 3 x GINConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=64, bias=True)
      (1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Linear(in_features=64, out_features=64, bias=True)
    ))
    (4): GINConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=3, bias=True)
      (1): BatchNorm1d(3, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Linear(in_features=3, out_features=3, bias=True)
    ))
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=492, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  32788
Epoch 1, Train acc: 0.61, Validation acc: 0.62 (new best validation), Test acc: 0.596
Epoch 2, Train acc: 0.6, Validation acc: 0.61, Test acc: 0.6
Epoch 3, Train acc: 0.66, Validation acc: 0.66 (new best validation), Test acc: 0.648
Epoch 4, Train acc: 0.65, Validation acc: 0.65, Test acc: 0.63
Epoch 5, Train acc: 0.62, Validation acc: 0.63, Test acc: 0.618
Epoch 6, Train acc: 0.66, Validation acc: 0.66, Test acc: 0.644
Epoch 7, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.652
Epoch 8, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.64
Epoch 9, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.646
Epoch 10, Train acc: 0.65, Validation acc: 0.63, Test acc: 0.626
Epoch 11, Train acc: 0.66, Validation acc: 0.66, Test acc: 0.638
Epoch 12, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.642
Epoch 13, Train acc: 0.67, Validation acc: 0.66, Test acc: 0.66
Epoch 14, Train acc: 0.67, Validation acc: 0.66, Test acc: 0.652
Epoch 15, Train acc: 0.67, Validation acc: 0.65, Test acc: 0.658
Epoch 16, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.64
Epoch 17, Train acc: 0.67, Validation acc: 0.66, Test acc: 0.648
Epoch 18, Train acc: 0.67, Validation acc: 0.65, Test acc: 0.654
Epoch 19, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.644
Epoch 20, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.64
Epoch 21, Train acc: 0.67, Validation acc: 0.66, Test acc: 0.66
Epoch 22, Train acc: 0.66, Validation acc: 0.65, Test acc: 0.644
Epoch 23, Train acc: 0.67, Validation acc: 0.67 (new best validation), Test acc: 0.652
Epoch 24, Train acc: 0.68, Validation acc: 0.66, Test acc: 0.66
Epoch 25, Train acc: 0.68, Validation acc: 0.67, Test acc: 0.666
Epoch 26, Train acc: 0.67, Validation acc: 0.67, Test acc: 0.652
Epoch 27, Train acc: 0.7, Validation acc: 0.69 (new best validation), Test acc: 0.7
Epoch 28, Train acc: 0.7, Validation acc: 0.69, Test acc: 0.716
Epoch 29, Train acc: 0.7, Validation acc: 0.68, Test acc: 0.694
Epoch 30, Train acc: 0.69, Validation acc: 0.67, Test acc: 0.69
Epoch 31, Train acc: 0.71, Validation acc: 0.68, Test acc: 0.69
Epoch 32, Train acc: 0.72, Validation acc: 0.69, Test acc: 0.698
Epoch 33, Train acc: 0.7, Validation acc: 0.68, Test acc: 0.694
Epoch 34, Train acc: 0.71, Validation acc: 0.69, Test acc: 0.714
Epoch 35, Train acc: 0.71, Validation acc: 0.69, Test acc: 0.714
Epoch 36, Train acc: 0.72, Validation acc: 0.69, Test acc: 0.716
Epoch 37, Train acc: 0.71, Validation acc: 0.69, Test acc: 0.69
Epoch 38, Train acc: 0.7, Validation acc: 0.7 (new best validation), Test acc: 0.686
Epoch 39, Train acc: 0.7, Validation acc: 0.68, Test acc: 0.678
Epoch 40, Train acc: 0.71, Validation acc: 0.7, Test acc: 0.702
Epoch 41, Train acc: 0.72, Validation acc: 0.69, Test acc: 0.702
Epoch 42, Train acc: 0.72, Validation acc: 0.7, Test acc: 0.706
Epoch 43, Train acc: 0.72, Validation acc: 0.69, Test acc: 0.708
Epoch 44, Train acc: 0.71, Validation acc: 0.69, Test acc: 0.69
Epoch 45, Train acc: 0.72, Validation acc: 0.71 (new best validation), Test acc: 0.714
Epoch 46, Train acc: 0.73, Validation acc: 0.69, Test acc: 0.712
Epoch 47, Train acc: 0.72, Validation acc: 0.7, Test acc: 0.702
Epoch 48, Train acc: 0.71, Validation acc: 0.68, Test acc: 0.702
Epoch 49, Train acc: 0.73, Validation acc: 0.7, Test acc: 0.71
Epoch 50, Train acc: 0.72, Validation acc: 0.7, Test acc: 0.702
Epoch 51, Train acc: 0.72, Validation acc: 0.71, Test acc: 0.704
Epoch 52, Train acc: 0.73, Validation acc: 0.71, Test acc: 0.716
Epoch 53, Train acc: 0.73, Validation acc: 0.7, Test acc: 0.71
Epoch 54, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.722
Epoch 55, Train acc: 0.72, Validation acc: 0.69, Test acc: 0.706
Epoch 56, Train acc: 0.73, Validation acc: 0.72 (new best validation), Test acc: 0.72
Epoch 57, Train acc: 0.74, Validation acc: 0.71, Test acc: 0.724
Epoch 58, Train acc: 0.73, Validation acc: 0.71, Test acc: 0.722
Epoch 59, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.716
Epoch 60, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.718
Epoch 61, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.72
Epoch 62, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.72
Epoch 63, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.718
